buffer,partition,lake_id,rmse,mae,corr,obs_mean,pred_mean,pred_zmean,pred_zmax
100,train,157,1.8504058,1.4104193,0.8989486287407318,16.092093,15.945162,7.513431,18.930607
100,train,181,0.882139,0.6947755,0.881347428711527,61.06219,61.104694,3.1935492,7.0191116
100,train,123,0.56574863,0.42828888,0.9033761467901745,51.94137,51.66343,2.457648,4.431835
100,train,7,2.6779351,1.8908216,0.5914979930600059,0.8992097,-0.49129006,4.370036,11.193459
100,train,197,0.48965758,0.39770073,0.05312357715312077,57.30192,57.1842,1.1118783,2.0834656
100,train,60,0.47051257,0.41598234,0.5074454665295672,51.201965,50.812477,1.044488,1.6994324
100,train,31,0.3384279,0.25225446,0.7413374560740339,0.2694984,0.22476244,1.9817806,2.6573873
100,train,89,0.66360694,0.5532463,0.8483181722700663,-1.9762262,-1.8294423,2.4436789,5.1585484
100,train,66,0.719435,0.61759377,0.6886736203041988,3.164799,2.6644907,1.6910732,2.7552867
100,train,201,1.127341,0.77015376,0.8955208075849439,2.7989798,2.8746743,4.1664734,8.398083
100,train,184,1.8224835,1.6592209,0.8931407087980312,31.284124,29.656643,4.8344803,8.850319
100,train,6,1.311053,1.0468526,0.9852286314215961,11.250191,10.458811,10.682941,21.339949
100,train,199,0.6688349,0.5313854,0.8040464778067715,17.935102,17.685448,2.7810178,4.5555134
100,train,20,1.1384573,1.0221905,0.610746285092554,20.604864,19.623795,1.3308294,2.7529144
100,train,58,0.95345324,0.72336435,0.9725779669303966,74.635544,74.84088,3.8942387,10.718742
100,train,103,0.55888087,0.42640167,0.671845029705954,16.374554,16.126945,2.1432562,4.146488
100,valid,55,0.9251494,0.7758688,0.30126763761315833,-0.008327349,-0.018534774,1.9191263,4.260953
100,valid,138,1.1244302,1.0575681,0.05090311440600401,2.0405962,0.990082,1.6710737,3.4869363
100,valid,166,1.2514305,1.000743,0.24386571635230794,15.427355,16.408869,1.4428207,3.026514
100,valid,36,4.565355,3.5701513,0.5178475599979621,14.017689,16.291609,4.172702,7.475033
100,valid,156,0.72172105,0.6605388,0.487246731436454,2.0607605,1.407183,1.7212863,3.8164384
100,valid,67,1.0961016,0.85347426,-0.3744744353691157,45.50233,45.79741,0.8385609,2.3418045
100,valid,5,1.2662017,1.1156356,0.6638246905944605,21.68468,20.592154,2.0743058,4.364229
100,valid,86,7.1820083,5.349949,0.7456505344515518,6.853557,9.661468,11.353584,27.131365
100,valid,92,2.1104274,1.9441792,0.8523786854632609,53.241753,51.323086,3.7324247,5.7948074
100,valid,140,2.2268853,1.8221928,0.6711709784489279,76.24759,74.48817,4.091792,7.878891
100,valid,21,3.1045663,2.9303365,0.4629132550386442,5.2770834,2.3986702,3.312062,4.829299
100,valid,121,2.0452511,1.7628787,0.5934964314825145,25.29747,24.59026,2.782251,4.3052197
100,valid,108,2.3677404,1.9775076,0.41026281487116206,45.24435,47.158276,-0.03981556,4.137268
100,valid,187,6.017884,5.600433,0.8053354000235239,40.242107,34.642654,7.0815306,10.944546
100,valid,90,1.6462728,1.4503915,0.7674596763367558,53.03136,51.63929,3.4919393,5.391693
100,valid,204,0.6724949,0.56440455,0.889411723307018,18.447218,18.678148,2.23141,3.7459106
100,valid,111,2.353781,1.6444019,0.6361871884017575,10.120518,11.613321,2.1382356,3.3802948
100,valid,64,1.3572632,1.2199711,0.3135013897913033,1.6785691,2.85739,1.0285889,2.054716
100,valid,164,1.5132834,1.1499095,0.735948274823569,23.022936,23.880169,2.860741,5.411751
100,valid,127,3.1493523,2.1652513,0.5297103372366816,10.139588,11.348267,2.3824413,7.053896
100,valid,110,0.8199386,0.6468643,0.19529996965173213,1.4069014,1.6319064,1.5127041,4.3701353
100,valid,107,2.3367405,2.0503669,0.517041299977153,47.423523,49.472946,1.5816509,2.7404556
100,valid,80,1.0133526,0.8451035,0.8412532644564018,16.513515,17.322165,2.1862173,3.6577072
100,valid,155,5.032142,3.7636516,0.6523477422630642,12.367845,15.484218,2.6900218,4.1317253
100,valid,61,1.7028011,1.2716097,0.7144200433331628,62.78123,61.788467,3.967743,7.17997
100,valid,165,1.9977272,1.3365176,-0.4145767563466422,-1.824114,-0.6338738,0.5446515,2.8259332
100,valid,206,0.7094158,0.5523547,0.8789548595105875,38.826042,39.087223,3.2971816,5.3628044
100,valid,12,1.4018413,1.1169983,0.5210602328791294,16.974638,15.924149,2.517934,5.244566
